date,river_discharge_m3s,location
2010-11-23 16:00:00,41.85485,Petaling
2010-11-24 16:00:00,42.052654,Petaling
2010-11-25 16:00:00,43.977985,Petaling
2010-11-26 16:00:00,71.945755,Petaling
2010-11-27 16:00:00,75.38358,Petaling
2010-11-28 16:00:00,79.35261,Petaling
2010-11-29 16:00:00,84.90135,Petaling
2010-11-30 16:00:00,92.97234,Petaling
2010-12-01 16:00:00,83.52789,Petaling
2010-12-02 16:00:00,63.714256,Petaling
2010-12-03 16:00:00,49.003452,Petaling
2010-12-04 16:00:00,55.10479,Petaling
2010-12-05 16:00:00,44.708817,Petaling
2010-12-06 16:00:00,38.174194,Petaling
2010-12-07 16:00:00,31.809532,Petaling
2010-12-08 16:00:00,32.496544,Petaling
2010-12-09 16:00:00,28.444216,Petaling
2010-12-10 16:00:00,22.49633,Petaling
2010-12-11 16:00:00,17.967058,Petaling
2010-12-12 16:00:00,14.5238695,Petaling
2010-12-13 16:00:00,12.93157,Petaling
2010-12-14 16:00:00,11.647364,Petaling
2010-12-15 16:00:00,14.275661,Petaling
2010-12-16 16:00:00,15.069412,Petaling
2010-12-17 16:00:00,27.840317,Petaling
2010-12-18 16:00:00,28.308933,Petaling
2010-12-19 16:00:00,28.10717,Petaling
2010-12-20 16:00:00,31.885159,Petaling
2010-12-21 16:00:00,31.359364,Petaling
2010-12-22 16:00:00,38.264492,Petaling
2010-12-23 16:00:00,41.16965,Petaling
2010-12-24 16:00:00,33.514374,Petaling
2010-12-25 16:00:00,29.760971,Petaling
2010-12-26 16:00:00,24.644842,Petaling
2010-12-27 16:00:00,19.323568,Petaling
2010-12-28 16:00:00,21.233099,Petaling
2010-12-29 16:00:00,78.250145,Petaling
2010-12-30 16:00:00,101.56517,Petaling
2010-12-31 16:00:00,75.736145,Petaling
2011-01-01 16:00:00,61.805832,Petaling
2011-01-02 16:00:00,54.335014,Petaling
2011-01-03 16:00:00,45.77351,Petaling
2011-01-04 16:00:00,38.08409,Petaling
2011-01-05 16:00:00,38.627808,Petaling
2011-01-06 16:00:00,57.21032,Petaling
2011-01-07 16:00:00,54.718582,Petaling
2011-01-08 16:00:00,43.565628,Petaling
2011-01-09 16:00:00,36.411057,Petaling
2011-01-10 16:00:00,35.897762,Petaling
2011-01-11 16:00:00,31.809532,Petaling
2011-01-12 16:00:00,30.841976,Petaling
2011-01-13 16:00:00,45.55861,Petaling
2011-01-14 16:00:00,39.831932,Petaling
2011-01-15 16:00:00,31.658787,Petaling
2011-01-16 16:00:00,28.376501,Petaling
2011-01-17 16:00:00,29.408854,Petaling
2011-01-18 16:00:00,24.58586,Petaling
2011-01-19 16:00:00,19.230192,Petaling
2011-01-20 16:00:00,15.368164,Petaling
2011-01-21 16:00:00,12.708817,Petaling
2011-01-22 16:00:00,10.402499,Petaling
2011-01-23 16:00:00,18.769697,Petaling
2011-01-24 16:00:00,19.84491,Petaling
2011-01-25 16:00:00,34.974934,Petaling
2011-01-26 16:00:00,34.974934,Petaling
2011-01-27 16:00:00,37.28247,Petaling
2011-01-28 16:00:00,31.433964,Petaling
2011-01-29 16:00:00,45.989418,Petaling
2011-01-30 16:00:00,89.991325,Petaling
2011-01-31 16:00:00,81.79421,Petaling
2011-02-01 16:00:00,56.14786,Petaling
2011-02-02 16:00:00,42.25139,Petaling
2011-02-03 16:00:00,33.040813,Petaling
2011-02-04 16:00:00,26.478943,Petaling
2011-02-05 16:00:00,21.387213,Petaling
2011-02-06 16:00:00,17.492685,Petaling
2011-02-07 16:00:00,16.139572,Petaling
2011-02-08 16:00:00,13.996848,Petaling
2011-02-09 16:00:00,11.764386,Petaling
2011-02-10 16:00:00,9.568176,Petaling
2011-02-11 16:00:00,9.471285,Petaling
2011-02-12 16:00:00,15.330523,Petaling
2011-02-13 16:00:00,15.710909,Petaling
2011-02-14 16:00:00,13.487719,Petaling
2011-02-15 16:00:00,17.113401,Petaling
2011-02-16 16:00:00,21.698647,Petaling
2011-02-17 16:00:00,17.113401,Petaling
2011-02-18 16:00:00,15.557699,Petaling
2011-02-19 16:00:00,15.032455,Petaling
2011-02-20 16:00:00,12.122,Petaling
2011-02-21 16:00:00,9.115794,Petaling
2011-02-22 16:00:00,6.726806,Petaling
2011-02-23 16:00:00,7.8104887,Petaling
2011-02-24 16:00:00,16.70109,Petaling
2011-02-25 16:00:00,17.492685,Petaling
2011-02-26 16:00:00,14.667513,Petaling
2011-02-27 16:00:00,11.560299,Petaling
2011-02-28 16:00:00,9.185914,Petaling
2011-03-01 16:00:00,7.912509,Petaling
2011-03-02 16:00:00,7.790225,Petaling
2011-03-03 16:00:00,13.757067,Petaling
2011-03-04 16:00:00,15.710909,Petaling
2011-03-05 16:00:00,13.190574,Petaling
2011-03-06 16:00:00,10.376273,Petaling
2011-03-07 16:00:00,25.424091,Petaling
2011-03-08 16:00:00,30.915375,Petaling
2011-03-09 16:00:00,34.563133,Petaling
2011-03-10 16:00:00,39.550858,Petaling
2011-03-11 16:00:00,51.239624,Petaling
2011-03-12 16:00:00,48.545025,Petaling
2011-03-13 16:00:00,40.68694,Petaling
2011-03-14 16:00:00,51.966343,Petaling
2011-03-15 16:00:00,48.203957,Petaling
2011-03-16 16:00:00,41.266865,Petaling
2011-03-17 16:00:00,35.559475,Petaling
2011-03-18 16:00:00,38.08409,Petaling
2011-03-19 16:00:00,46.75293,Petaling
2011-03-20 16:00:00,64.61453,Petaling
2011-03-21 16:00:00,75.20789,Petaling
2011-03-22 16:00:00,62.82634,Petaling
2011-03-23 16:00:00,46.533527,Petaling
2011-03-24 16:00:00,37.018944,Petaling
2011-03-25 16:00:00,29.902954,Petaling
2011-03-26 16:00:00,24.061096,Petaling
2011-03-27 16:00:00,19.370422,Petaling
2011-03-28 16:00:00,19.323568,Petaling
2011-03-29 16:00:00,19.511623,Petaling
2011-03-30 16:00:00,16.139572,Petaling
2011-03-31 16:00:00,12.551893,Petaling
2011-04-01 16:00:00,11.823307,Petaling
2011-04-02 16:00:00,12.335215,Petaling
2011-04-03 16:00:00,10.561121,Petaling
2011-04-04 16:00:00,8.311078,Petaling
2011-04-05 16:00:00,8.462372,Petaling
2011-04-06 16:00:00,14.100802,Petaling
2011-04-07 16:00:00,14.595524,Petaling
2011-04-08 16:00:00,11.971794,Petaling
2011-04-09 16:00:00,13.387985,Petaling
2011-04-10 16:00:00,37.994194,Petaling
2011-04-11 16:00:00,38.719154,Petaling
2011-04-12 16:00:00,37.72577,Petaling
2011-04-13 16:00:00,33.753616,Petaling
